order_id,order_date,customer_id,product_category,product_name,quantity,unit_price,total,status,region
1001,2024-01-05,C001,Electronics,Wireless Headphones,1,89.99,89.99,completed,North
1002,2024-01-06,C002,Clothing,Running Shoes,2,65.00,130.00,completed,South
1003,2024-01-07,C003,Electronics,Smart Watch,1,199.99,199.99,completed,East
1004,2024-01-10,C004,Home,Coffee Maker,1,45.00,45.00,refunded,West
1005,2024-01-12,C005,Clothing,Winter Jacket,1,120.00,120.00,completed,North
1006,2024-02-01,C001,Electronics,Laptop Stand,1,35.00,35.00,completed,North
1007,2024-02-03,C006,Home,Air Purifier,1,249.99,249.99,completed,South
1008,2024-02-05,C007,Clothing,Yoga Pants,3,40.00,120.00,completed,East
1009,2024-02-08,C002,Electronics,Bluetooth Speaker,2,55.00,110.00,completed,South
1010,2024-02-14,C008,Home,Desk Lamp,1,29.99,29.99,completed,West
1011,2024-03-01,C003,Electronics,Mechanical Keyboard,1,149.99,149.99,completed,East
1012,2024-03-05,C009,Clothing,Denim Jacket,1,85.00,85.00,completed,North
1013,2024-03-10,C010,Home,Plant Pot Set,2,25.00,50.00,completed,South
1014,2024-03-15,C005,Electronics,USB Hub,1,39.99,39.99,completed,North
1015,2024-03-20,C006,Clothing,Sports Socks,5,12.00,60.00,completed,South
